Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
Brunei,1.848,49.63747719,31628.32879,0.4,1,0,9.116999626,81.39696395,77.629,27.33141526,27.31810115,1,,,,
Bhutan,1.975,52.49784255,3243.231125,0.6,1,1,2.342000008,19.77752777,40.895,24.56664292,23.59475588,1,1.321,0.457,,
Botswana,2.874,48.48522271,8258.641666,8.4,1,0,18.19300079,3.977424876,69.446,26.29687711,22.63366824,2,1.145,0.455,,
Central African Republic,4.721,42.7844686,475.7212505,3.3,2,1,3.680000067,7.490412212,41.364,23.78232058,22.07918352,2,0,0.225,,
Canada,1.4988,38.9663993,46234.35075,8.9,4,1,5.56400013,4.075188239,81.411,26.76370753,27.45423618,4,1.505,0.584,29,47.73
Switzerland,1.52,37.37418072,82828.79737,11.5,2,0,4.580999851,215.437463,73.797,23.81875224,26.8336985,4,1.526,0.572,30.7,40
Chile,1.649,43.72524274,15923.35874,9.3,3,1,7.090000153,25.18944607,87.564,28.34360496,27.99180302,1,1.369,0.357,24,21.21
China,1.69,41.92555527,9770.847088,7.2,2,0,4.320000172,148.3488333,59.152,23.59199764,24.27643908,4,1.125,0.521,,30.11
Cote d'Ivoire,4.649,45.29726778,1715.531332,8.4,2,1,3.316999912,78.83405346,50.779,24.24784698,23.47829494,1,,,,
Cameroon,4.572,44.79631628,1533.74214,8.9,2,1,3.380000114,53.34398891,56.374,25.22671897,23.65643975,2,0.91,0.381,,
Democratic Republic of Congo,5.919,41.02322865,561.7771824,2.6,2,0,4.236000061,37.08259236,44.46,22.70869215,21.44356804,2,,,,
Congo,4.428,43.77819808,2147.769461,7.8,2,1,9.472000122,15.35684627,66.916,24.22026121,22.39378052,0,,,,
Colombia,1.807,47.04488002,6667.7907,5.8,2,1,9.706999779,44.74870212,80.778,26.75453166,25.990732,2,1.41,0.47,21.7,30.43
Comoros,4.205,45.69757181,1415.263622,0.9,2,1,4.335999966,447.2444775,28.965,25.76026031,23.36117402,2,0.757,0.142,,
Cape Verde,2.274,48.91435153,3635.40685,5.7,1,0,12.2489996,134.9297767,65.732,25.42787529,23.80060003,4,,,,
Costa Rica,1.754,46.26763949,12027.36588,4.8,2,0,11.85400009,97.91306306,79.34,28.10500815,26.9095007,2,1.441,0.558,25,47.17
Cuba,1.618,37.11233172,8821.818891,6.1,4,1,1.638000011,108.9995962,77.037,26.20142057,25.37309739,4,,,22,55.77
Curacao,1.7,34.95150042,19573.8926,6.814136378,2,1,14,360,89.145,26.75453166,25.990732,0,,,,
Cayman Islands,1.84,45.69773232,81124.51348,6.814136378,1,1,4,267.3916667,100,29.86594518,25.97758141,1,,,,
Cyprus,1.329,44.76473488,28689.69858,10.8,2,1,7.274000168,128.7083333,66.81,26.22650471,27.73522915,4,1.223,0.406,29.2,30.67
Czech Republic,1.71,37.14596626,23069.38325,14.4,4,1,1.932999969,137.6577053,73.792,26.43610997,28.18887918,4,1.487,0.457,28.2,50
Germany,1.57,33.67585717,47615.74003,13.4,4,0,3.042999983,237.3075967,77.312,26.00994709,27.48449232,4,1.454,0.495,29.6,40
Djibouti,2.728,50.00803591,3082.543099,0.5,2,1,10.29500008,41.36842105,77.777,24.75441969,23.50601857,2,,,,
Dominica,2.37,45.69773232,7691.345097,8.2,1,1,23,95.5,70.483,29.21841194,25.07841251,1,,,,
Denmark,1.73,36.50927196,61390.69301,10.4,4,1,4.913000107,137.9765658,87.874,24.55769869,26.27862334,4,1.573,0.592,29.2,55.56
Dominican Republic,2.346,46.57957753,8050.631602,6.9,1,1,5.84499979,219.9785759,81.074,27.56382371,25.68938691,0,1.401,0.497,21.3,40.91
