Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
Kyrgyzstan,3.3,45.23531443,1279.945057,6.2,2,1,6.329999924,32.96558916,36.351,27.43290879,26.13858825,4,1.438,0.508,22.9,16.49
Cambodia,2.503,47.80258396,1510.324871,6.7,1,1,0.676999986,92.05641287,23.388,22.38762001,22.15405293,4,1.122,0.609,22.9,5
Kiribati,3.569,45.51134049,1625.2861,0.4,1,1,30,143.0209877,54.057,31.3037358,29.16996617,1,,,23.1,
St. Kitts and Nevis,2.1,45.69773232,19275.41851,9.4,1,0,4.9,201.6961538,30.776,30.89159317,28.37610431,2,,,,
South Korea,0.977,39.22416184,31380.14645,10.2,4,1,4.147999763,529.3585013,81.459,23.1632351,24.465566,2,1.219,0.159,31,38.18
Kuwait,2.082,50.67802121,33994.40657,0,1,0,2.181999922,232.1722222,100,30.66093207,29.19359451,2,1.409,0.557,,42.31
Laos,2.667,49.10018132,2542.486528,10.4,2,0,0.625999987,30.59578423,35.004,23.20833965,22.79560541,0,1.03,0.547,23,5
Lebanon,2.087,49.22437853,8269.787676,1.5,1,0,6.229000092,669.4941349,88.593,27.64767452,28.1243274,1,1.224,0.216,,16.84
Liberia,4.315,44.28412865,677.3221785,5.8,1,1,2.813999891,50.03090739,51.151,25.19952427,23.17230055,2,0.922,0.37,,
Libya,2.24,50.30853542,7241.704481,0,2,0,18.56299973,3.795632381,80.102,29.56632955,27.05258408,1,1.303,0.416,,23.15
St. Lucia,1.436,48.09879753,10566.04975,9.9,1,1,20.70599937,298.1786885,18.678,30.59957482,29.81370474,2,,,,25
Liechtenstein,1.58,36.46866348,165028.245,11.6,2,1,2.5,236.9375,14.338,24.74923974,26.67288696,2,,,31.3,48
Sri Lanka,2.199,42.131395,4102.48135,4.3,1,0,4.197999954,345.558922,18.476,23.83638768,22.6383471,1,1.265,0.47,25.6,54
Lesotho,3.141,47.43509172,1299.153126,5,1,0,23.40500069,69.43781291,28.153,27.1352051,22.81298191,2,1.169,0.359,,
Lithuania,1.63,33.00894975,19071.29979,15,4,1,6.352000237,44.72307577,67.679,26.05921691,27.21831369,4,1.515,0.291,27.5,41.89
Luxembourg,1.38,41.91382317,116597.2956,13,3,1,5.362999916,250.1851852,90.981,25.75479558,27.24497208,4,1.479,0.526,30.7,65.63
Latvia,1.6,32.91038005,17854.75996,12.9,4,1,6.519999981,30.99347057,68.142,26.45084333,27.19496331,4,1.465,0.264,27.6,46.97
Macao,1.217,45.16344209,87208.53591,6.1,1,0,2.236999989,20777.50026,100,23.92107456,24.64910835,3,,,,
Morocco,2.415,46.14234754,3222.200634,0.6,2,1,9.019000053,80.72851893,62.453,26.69405022,25.5612347,2,0.782,0.418,,13
Monaco,1.54,35.00108069,185741.28,12.6,2,1,2,19196,100,24.3122892,26.07234717,2,,,,
Moldova,1.262,44.14915187,4228.922475,15.2,4,1,5.47300005,123.5198035,42.629,27.58411562,26.78111685,4,1.328,0.245,24.8,42.47
Madagascar,4.077,45.17209544,527.501285,1.9,2,0,1.758000016,45.13985562,37.191,21.14453119,21.57781202,0,0.916,0.148,,
Maldives,1.87,52.91424052,10330.61561,2.7,1,1,6.138000011,1718.986667,39.808,26.55675736,24.84316797,4,,,24.5,
Mexico,2.129,46.98195344,9673.443674,6.5,1,1,3.424999952,64.91462641,80.156,28.5927059,27.63516419,1,1.323,0.433,21.3,17.31
Marshall Islands,2.98,44.78260962,3788.163594,2.113835896,0,0,35,324.5166667,77.031,30.66769672,29.07705261,0,,,,
North Macedonia,1.496,42.09631238,6083.718948,8.1,3,1,17.75900078,82.59151467,57.963,26.403139,27.47787553,4,1.294,0.345,27.2,15.63
Mali,5.877,41.23351464,899.6599081,1.3,2,1,7.223999977,15.63501586,42.356,23.18221551,22.99991795,1,1.105,0.327,,
Malta,1.23,38.55142853,30029.96704,8.1,2,1,3.47300005,1514.46875,94.612,26.59676335,27.9549695,0,1.52,0.564,28.9,11.94
Myanmar,2.154,47.28797149,1325.952924,4.8,2,0,1.577000022,82.23861548,30.579,23.16920511,22.31810837,1,1.181,0.525,24.7,2
Montenegro,1.745,39.64008809,8845.914219,8,4,1,14.88300037,46.26223048,66.813,26.29841226,27.17491841,4,1.361,0.197,26.3,21.57
